state,date,income_mean,income_median,Total_Pop_2022,Annual Household Income,Income per Capita (MYR),Income per Capita (Rounded)
Johor,1/1/2022,8517,6879,1325.6,82548,62.27217864,62
Kedah,1/2/2022,5550,4402,989.5,52824,53.38453765,53
Kelantan,1/3/2022,4885,3614,707.3,43368,61.31485932,61
Melaka,1/4/2022,8057,6210,419.4,74520,177.6824034,178
Negeri Sembilan,1/5/2022,6788,5226,500.4,62712,125.323741,125
Pahang,1/6/2022,5777,4753,523.8,57036,108.8888889,109
Perak,1/7/2022,5779,4494,1631.5,53928,33.05424456,33
Perlis,1/8/2022,5664,4713,125.5,56556,450.6454183,451
Penang,1/9/2022,8267,6502,808.6,78024,96.49270344,96
Sabah,1/10/2022,6171,4577,698.1,54924,78.67640739,79
Sarawak,1/11/2022,6457,4978,1037,59736,57.60462874,58
Selangor,1/12/2022,12233,9983,1696.4,119796,70.61777883,71
Terengganu,1/13/2022,7248,5878,418.8,70536,168.4240688,168
Kuala Lumpur,1/14/2022,13325,10234,982.9,122808,124.9445518,125
Labuan,1/15/2022,8250,6904,52.9,82848,1566.124764,1566
Putrajaya,1/16/2022,13473,10056,73.4,120672,1644.032698,1644